Message,Count
B110_try_except_pass,1233
B101_assert_used,10484
B604_any_other_function_with_shell_equals_true,204
B311_blacklist,1016
B112_try_except_continue,79
B605_start_process_with_a_shell,273
B408_blacklist,6
B603_subprocess_without_shell_equals_true,1389
B303_blacklist,425
B602_subprocess_popen_with_shell_equals_true,285
B105_hardcoded_password_string,291
B301_blacklist,302
B607_start_process_with_partial_path,506
B307_blacklist,311
B102_exec_used,153
B107_hardcoded_password_default,102
B106_hardcoded_password_funcarg,44
B104_hardcoded_bind_all_interfaces,111
B608_hardcoded_sql_expressions,358
B504_ssl_with_no_version,17
B108_hardcoded_tmp_directory,164
B701_jinja2_autoescape_false,28
B310_blacklist,348
B103_set_bad_file_permissions,32
B404_blacklist,74
B312_blacklist,8
B413_blacklist,10
B506_yaml_load,11
B306_blacklist,24
B606_start_process_with_no_shell,33
B317_blacklist,20
B321_blacklist,13
B403_blacklist,40
B405_blacklist,15
B314_blacklist,19
B610_django_extra_used,11
B302_blacklist,10
B501_request_with_no_cert_validation,55
B410_blacklist,18
B318_blacklist,20
B320_blacklist,11
B323_blacklist,9
B702_use_of_mako_templates,1
B402_blacklist,4
B309_blacklist,7
B319_blacklist,1
B411_blacklist,1
B324_hashlib,13
B401_blacklist,1
B325_blacklist,2
B502_ssl_with_bad_version,4
B313_blacklist,2
B406_blacklist,1
