Message,Count
E0602-undefined-variable,1132
C0301-line-too-long,386
W0612-unused-variable,127
W0613-unused-argument,394
C0209-consider-using-f-string,99
W1303-missing-format-argument-key,1
W0707-raise-missing-from,12
R0911-too-many-return-statements,25
R1705-no-else-return,177
E0601-used-before-assignment,52
R1710-inconsistent-return-statements,42
R1714-consider-using-in,8
R1719-simplifiable-if-expression,2
W1514-unspecified-encoding,1
W0511-fixme,26
W0621-redefined-outer-name,29
E1101-no-member,25
E1121-too-many-function-args,18
W0104-pointless-statement,15
W0106-expression-not-assigned,9
W0622-redefined-builtin,31
R1704-redefined-argument-from-local,25
R1701-consider-merging-isinstance,3
W0631-undefined-loop-variable,26
E1136-unsubscriptable-object,6
E1120-no-value-for-parameter,10
R1711-useless-return,3
W0703-broad-except,3
R0124-comparison-with-itself,12
R1716-chained-comparison,6
W0143-comparison-with-callable,4
W0212-protected-access,13
R1721-unnecessary-comprehension,12
C0121-singleton-comparison,2
W0101-unreachable,12
C0200-consider-using-enumerate,27
W0715-raising-format-tuple,6
R1724-no-else-continue,1
W0108-unnecessary-lambda,7
C0325-superfluous-parens,27
W0640-cell-var-from-loop,1
R0801-duplicate-code,11
W0126-missing-parentheses-for-call-in-test,1
W0125-using-constant-test,1
E1133-not-an-iterable,4
W1305-format-combined-specification,1
E1137-unsupported-assignment-operation,1
R1703-simplifiable-if-statement,9
W0702-bare-except,6
R1729-use-a-generator,3
C0321-multiple-statements,13
W0120-useless-else-on-loop,2
W1406-redundant-u-string-prefix,8
R1720-no-else-raise,2
C1802-use-implicit-booleaness-not-len,4
E1102-not-callable,20
E1135-unsupported-membership-test,3
E0103-not-in-loop,2
W0311-bad-indentation,29
R0914-too-many-locals,2
W0128-redeclared-assigned-name,4
W0632-unbalanced-tuple-unpacking,3
R1723-no-else-break,1
W0123-eval-used,1
E1306-too-few-format-args,3
W4701-modified-iterating-list,1
W0127-self-assigning-variable,13
R1726-simplifiable-condition,2
R1702-too-many-nested-blocks,1
E1305-too-many-format-args,5
R1731-consider-using-max-builtin,2
W0705-duplicate-except,1
W0105-pointless-string-statement,3
E0611-no-name-in-module,1
E1111-assignment-from-no-return,2
R1735-use-dict-literal,1
E0012-bad-option-value,2
R1728-consider-using-generator,1
W1310-format-string-without-interpolation,1
