Message,Count
C0325-superfluous-parens,24
E0602-undefined-variable,1149
R0124-comparison-with-itself,19
R1719-simplifiable-if-expression,6
C0209-consider-using-f-string,84
C1802-use-implicit-booleaness-not-len,6
R1720-no-else-raise,13
W0613-unused-argument,397
C0301-line-too-long,386
W1310-format-string-without-interpolation,3
C0200-consider-using-enumerate,29
R1705-no-else-return,260
E1305-too-many-format-args,3
R1714-consider-using-in,11
R1710-inconsistent-return-statements,59
W0612-unused-variable,125
E1121-too-many-function-args,22
W0143-comparison-with-callable,2
E1120-no-value-for-parameter,11
R1711-useless-return,1
E0601-used-before-assignment,30
E1136-unsubscriptable-object,30
E1101-no-member,41
R1704-redefined-argument-from-local,31
R0911-too-many-return-statements,24
W0622-redefined-builtin,18
R1716-chained-comparison,14
W0127-self-assigning-variable,11
R1723-no-else-break,2
W0702-bare-except,4
W1114-arguments-out-of-order,4
W0511-fixme,18
W0703-broad-except,2
W0621-redefined-outer-name,29
E1135-unsupported-membership-test,8
W0631-undefined-loop-variable,14
W1302-bad-format-string,1
E1123-unexpected-keyword-arg,4
E1306-too-few-format-args,4
W0707-raise-missing-from,12
R1728-consider-using-generator,4
W1116-isinstance-second-argument-not-valid-type,1
E0012-bad-option-value,2
E1137-unsupported-assignment-operation,5
W0705-duplicate-except,1
R1721-unnecessary-comprehension,9
W1406-redundant-u-string-prefix,8
W0101-unreachable,10
W0109-duplicate-key,1
R0801-duplicate-code,9
E1133-not-an-iterable,2
E0402-relative-beyond-top-level,1
W4701-modified-iterating-list,2
R1729-use-a-generator,2
W0212-protected-access,7
R1731-consider-using-max-builtin,1
W0104-pointless-statement,8
R0916-too-many-boolean-expressions,5
E0611-no-name-in-module,6
R1703-simplifiable-if-statement,6
R1734-use-list-literal,1
C0123-unidiomatic-typecheck,2
W0311-bad-indentation,3
C0113-unneeded-not,7
C0321-multiple-statements,29
R0912-too-many-branches,1
R1701-consider-merging-isinstance,4
E4702-modified-iterating-dict,1
R1730-consider-using-min-builtin,9
W0128-redeclared-assigned-name,3
W0108-unnecessary-lambda,2
C0121-singleton-comparison,1
W0640-cell-var-from-loop,1
W0632-unbalanced-tuple-unpacking,1
W0105-pointless-string-statement,6
E1128-assignment-from-none,1
W0706-try-except-raise,1
E1126-invalid-sequence-index,2
R1708-stop-iteration-return,1
W1308-duplicate-string-formatting-argument,1
