Message,Count
C0200-consider-using-enumerate,11
W0511-fixme,20
W0613-unused-argument,183
C0301-line-too-long,84
E0602-undefined-variable,161
W0104-pointless-statement,25
W0612-unused-variable,126
E0601-used-before-assignment,10
E1101-no-member,14
R0903-too-few-public-methods,3
W0621-redefined-outer-name,6
W0311-bad-indentation,45
W0622-redefined-builtin,13
W0702-bare-except,2
C0325-superfluous-parens,7
R1705-no-else-return,6
R1710-inconsistent-return-statements,32
E1120-no-value-for-parameter,4
E0611-no-name-in-module,6
W0127-self-assigning-variable,3
W0101-unreachable,17
R1735-use-dict-literal,1
E1137-unsupported-assignment-operation,6
E1136-unsubscriptable-object,10
R1731-consider-using-max-builtin,1
W0143-comparison-with-callable,2
R1730-consider-using-min-builtin,1
E0102-function-redefined,4
E1133-not-an-iterable,3
R0801-duplicate-code,3
W0707-raise-missing-from,1
W1406-redundant-u-string-prefix,1
E0103-not-in-loop,1
C0321-multiple-statements,1
W0105-pointless-string-statement,19
W1310-format-string-without-interpolation,1
C0209-consider-using-f-string,5
W0212-protected-access,11
E1121-too-many-function-args,3
R1720-no-else-raise,4
W1116-isinstance-second-argument-not-valid-type,1
R0124-comparison-with-itself,1
W0410-misplaced-future,2
E0402-relative-beyond-top-level,1
C0121-singleton-comparison,1
E1128-assignment-from-none,2
R1711-useless-return,2
R1704-redefined-argument-from-local,4
W0301-unnecessary-semicolon,7
E1111-assignment-from-no-return,12
W1514-unspecified-encoding,1
W0715-raising-format-tuple,1
W0128-redeclared-assigned-name,1
R1714-consider-using-in,1
W0632-unbalanced-tuple-unpacking,1
R1703-simplifiable-if-statement,1
