Message,Count
R1705-no-else-return,11
E0602-undefined-variable,222
C0209-consider-using-f-string,2
W0613-unused-argument,193
C0301-line-too-long,107
W0612-unused-variable,123
R1710-inconsistent-return-statements,33
W0621-redefined-outer-name,9
E1111-assignment-from-no-return,17
E1135-unsupported-membership-test,2
C0321-multiple-statements,9
W0104-pointless-statement,37
W0127-self-assigning-variable,5
E1121-too-many-function-args,4
W0125-using-constant-test,1
E1137-unsupported-assignment-operation,2
W0622-redefined-builtin,14
E1136-unsubscriptable-object,3
W1514-unspecified-encoding,4
E1120-no-value-for-parameter,8
E0601-used-before-assignment,9
W0511-fixme,11
R1711-useless-return,3
R0903-too-few-public-methods,2
W0105-pointless-string-statement,9
E0102-function-redefined,3
R0124-comparison-with-itself,3
W0631-undefined-loop-variable,4
R1704-redefined-argument-from-local,10
E0611-no-name-in-module,5
R0801-duplicate-code,2
C0200-consider-using-enumerate,6
C0325-superfluous-parens,6
R1721-unnecessary-comprehension,3
R1707-trailing-comma-tuple,4
W0212-protected-access,8
W0101-unreachable,5
W0702-bare-except,1
R1720-no-else-raise,5
R1723-no-else-break,1
E0633-unpacking-non-sequence,2
W0410-misplaced-future,1
R0205-useless-object-inheritance,1
R1714-consider-using-in,1
W0301-unnecessary-semicolon,6
E0704-misplaced-bare-raise,1
W0311-bad-indentation,4
W1116-isinstance-second-argument-not-valid-type,1
W1114-arguments-out-of-order,1
E1101-no-member,3
R0914-too-many-locals,1
W0632-unbalanced-tuple-unpacking,2
W0106-expression-not-assigned,5
R1726-simplifiable-condition,1
C0123-unidiomatic-typecheck,2
