Message,Count
C0301-line-too-long,62
W0101-unreachable,1
E0602-undefined-variable,82
E1101-no-member,1
W0613-unused-argument,120
W0106-expression-not-assigned,1
R1710-inconsistent-return-statements,40
W0612-unused-variable,36
E1136-unsubscriptable-object,2
R1705-no-else-return,9
C0200-consider-using-enumerate,3
R0801-duplicate-code,2
R1721-unnecessary-comprehension,1
R1711-useless-return,2
R1720-no-else-raise,1
C0209-consider-using-f-string,3
W1401-anomalous-backslash-in-string,1
R1701-consider-merging-isinstance,1
W0104-pointless-statement,4
W0622-redefined-builtin,1
W0621-redefined-outer-name,2
W0511-fixme,2
W0107-unnecessary-pass,1
R1714-consider-using-in,2
W0105-pointless-string-statement,1
E0601-used-before-assignment,4
C0321-multiple-statements,1
W0311-bad-indentation,2
R1704-redefined-argument-from-local,5
W0127-self-assigning-variable,1
C0325-superfluous-parens,3
R1703-simplifiable-if-statement,1
C0123-unidiomatic-typecheck,2
