Message,Count
W0613-unused-argument,165
E0602-undefined-variable,129
R1710-inconsistent-return-statements,40
W0612-unused-variable,132
C0301-line-too-long,85
W0125-using-constant-test,1
W0104-pointless-statement,28
R1705-no-else-return,34
W0311-bad-indentation,170
W0622-redefined-builtin,13
W0621-redefined-outer-name,10
E0601-used-before-assignment,14
C0200-consider-using-enumerate,4
R1704-redefined-argument-from-local,3
E1120-no-value-for-parameter,8
W0127-self-assigning-variable,5
C1802-use-implicit-booleaness-not-len,1
R0903-too-few-public-methods,7
C0321-multiple-statements,10
R1734-use-list-literal,1
R1716-chained-comparison,1
W0101-unreachable,16
R0124-comparison-with-itself,3
W0128-redeclared-assigned-name,1
R1711-useless-return,2
R0205-useless-object-inheritance,1
E1136-unsubscriptable-object,1
E0213-no-self-argument,1
R1703-simplifiable-if-statement,1
E0102-function-redefined,31
E1121-too-many-function-args,3
W0632-unbalanced-tuple-unpacking,2
R0801-duplicate-code,1
R1728-consider-using-generator,1
E1101-no-member,7
E1123-unexpected-keyword-arg,1
C0121-singleton-comparison,4
R1719-simplifiable-if-expression,3
W0511-fixme,2
C0325-superfluous-parens,5
W0105-pointless-string-statement,8
E1133-not-an-iterable,2
R1721-unnecessary-comprehension,5
R1718-consider-using-set-comprehension,2
C0123-unidiomatic-typecheck,1
E0611-no-name-in-module,1
W4701-modified-iterating-list,1
W0631-undefined-loop-variable,1
E1111-assignment-from-no-return,2
E1102-not-callable,1
R1707-trailing-comma-tuple,1
R1732-consider-using-with,1
W1514-unspecified-encoding,1
R1714-consider-using-in,1
W0123-eval-used,1
